,words,type,sentiment,lemm,source
4563,конструктив,Noun,positive,конструктив,opinion
4564,контактность,Noun,positive,контактность,opinion
4565,контактный,Adj,neutral,контактный,fact
4566,контактный,Adj,neutral,контактный,fact
4567,контактный,Adj,neutral,контактный,fact
4568,контактный,Adj,positive,контактный,opinion
4569,контаминант,Noun,negative,контаминант,fact
4570,контрабанда,Noun,negative,контрабанда,fact
4571,контрабандистка,Noun,negative,контрабандистка,fact
4572,контрабандистский,Adj,negative,контрабандистский,fact
4573,контрабандист,Noun,negative,контрабандист,fact
4574,контрабандный,Adj,negative,контрабандный,fact
4575,контрафактный,Adj,negative,контрафактный,fact
4576,контрафакт,Noun,negative,контрафакт,fact
4577,контрафакция,Noun,negative,контрафакция,fact
4578,контрзаговор,Noun,negative,контрзаговор,opinion
4579,контрпродуктивность,Noun,negative,контрпродуктивность,opinion
4580,контрпродуктивный,Adj,negative,контрпродуктивный,opinion
4581,контрреволюционный,Adj,negative,контрреволюционный,fact
4582,контрреволюция,Noun,negative,контрреволюция,fact
4583,контузить,Verb,negative,контузить,fact
4584,контузия,Noun,negative,контузия,fact
4585,конфетка,Noun,positive,конфетка,fact
4586,конфискационный,Adj,negative,конфискационный,fact
4587,конфискация,Noun,negative,конфискация,fact
4588,конфисковать,Verb,negative,конфисковать,fact
4589,конфисковывать,Verb,negative,конфисковывать,fact
4590,конфликтность,Noun,negative,конфликтность,opinion
4591,конфликтный,Adj,negative,конфликтный,opinion
4592,конфликтовать,Verb,negative,конфликтовать,opinion
4593,конфликтующий,Adj,negative,конфликтующий,fact
4594,конфликт,Noun,negative,конфликт,opinion
4595,конформистка,Noun,negative,конформистка,opinion
4596,конформист,Noun,negative,конформист,opinion
4597,конфронтационность,Noun,negative,конфронтационность,opinion
4598,конфронтационный,Adj,negative,конфронтационный,opinion
4599,конфронтация,Noun,negative,конфронтация,opinion
4600,конфронтировать,Verb,negative,конфронтировать,opinion
4601,конфузиться,Verb,negative,конфузиться,feeling
4602,конфузный,Adj,negative,конфузный,feeling
4603,конфуз,Noun,negative,конфуз,opinion
4604,концлагерь,Noun,negative,концлагерь,fact
4605,конченный,Adj,negative,конченный,opinion
4606,конченый,Adj,negative,конченый,opinion
4607,кончина,Noun,negative,кончина,fact
4608,конъюнктурщик,Noun,negative,конъюнктурщик,opinion
4609,конъюнктурщица,Noun,negative,конъюнктурщица,opinion
4610,копание,Noun,negative,копание,fact
4611,копание,Noun,negative,копание,opinion
4612,копание,Noun,neutral,копание,fact
4613,копание,Noun,neutral,копание,fact
4614,копаться,Verb,negative,копаться,fact
4615,копаться,Verb,negative,копаться,opinion
4616,копаться,Verb,neutral,копаться,fact
4617,копеечная плата,NG,negative,копеечный плата,opinion
4618,копеечный,Adj,negative,копеечный,opinion
4619,копеечный,Adj,negative,копеечный,opinion
4620,копеечный,Adj,negative,копеечный,opinion
4621,копеечный,Adj,neutral,копеечный,fact
4622,копунья,Noun,negative,копунья,opinion
4623,копун,Noun,negative,копун,opinion
4624,копуша,Noun,negative,копуша,opinion
4625,коревой,Adj,negative,коревой,fact
4626,корежить,Verb,negative,корежить,fact
4627,кореш,Noun,positive,кореш,opinion
4628,корить,Verb,negative,корить,fact
4629,корифей,Noun,positive,корифей,opinion
4630,корнать,Verb,negative,корнать,fact
4631,корова,Noun,negative,корова,opinion
4632,корова,Noun,neutral,корова,fact
4633,корова,Noun,neutral,корова,fact
4634,коронный,Adj,neutral,коронный,fact
4635,коронный,Adj,positive,коронный,opinion
4636,короткое замыкание,NG,negative,короткий замыкание,fact
4637,коротнуть,Verb,negative,коротнуть,fact
4638,корректность,Noun,positive,корректность,opinion
4639,корректный,Adj,positive,корректный,opinion
4640,корродирование,Noun,negative,корродирование,fact
4641,корродироваться,Verb,negative,корродироваться,fact
4642,корродировать,Verb,negative,корродировать,fact
4643,коррозийный,Adj,negative,коррозийный,fact
4644,коррозионный,Adj,negative,коррозионный,fact
4645,коррозировать,Verb,negative,коррозировать,fact
4646,коррозия души,NG,negative,коррозия душа,opinion
4647,коррозия,Noun,negative,коррозия,fact
4648,коррумпирование,Noun,negative,коррумпирование,fact
4649,коррумпированность,Noun,negative,коррумпированность,fact
4650,коррумпированный,Adj,negative,коррумпированный,fact
4651,коррумпироваться,Verb,negative,коррумпироваться,fact
4652,коррумпировать,Verb,negative,коррумпировать,fact
4653,коррупционерский,Adj,negative,коррупционерский,fact
4654,коррупционер,Noun,negative,коррупционер,fact
4655,коррупционность,Noun,negative,коррупционность,fact
4656,коррупционный,Adj,negative,коррупционный,fact
4657,коррупция,Noun,negative,коррупция,fact
4658,корча,Noun,negative,корча,opinion
4659,корыстный,Adj,negative,корыстный,opinion
4660,корыстолюбец,Noun,negative,корыстолюбец,opinion
4661,корыстолюбивый,Adj,negative,корыстолюбивый,opinion
4662,корыстолюбие,Noun,negative,корыстолюбие,opinion
4663,корысть,Noun,negative,корысть,opinion
4664,корь,Noun,negative,корь,fact
4665,корявость,Noun,negative,корявость,opinion
4666,корявый,Adj,negative,корявый,opinion
4667,коситься,Verb,negative,коситься,fact
4668,коситься,Verb,negative,коситься,opinion
4669,коситься,Verb,neutral,коситься,fact
4670,коситься,Verb,neutral,коситься,fact
4671,космополитизм,Noun,negative,космополитизм,fact
4672,космополитический,Adj,negative,космополитический,fact
4673,космополитичный,Adj,negative,космополитичный,fact
4674,космополитка,Noun,negative,космополитка,fact
4675,космополит,Noun,negative,космополит,fact
4676,косо глядеть,VG,negative,косо глядеть,opinion
4677,косо смотреть,VG,negative,косо смотреть,opinion
4678,костенеть,Verb,negative,костенеть,fact
4679,костерить,Verb,negative,костерить,opinion
4680,костить,Verb,negative,костить,opinion
4681,костлявость,Noun,negative,костлявость,opinion
4682,костлявый,Adj,negative,костлявый,opinion
4683,костный перелом,NG,negative,костный перелом,fact
4684,косяк,Noun,negative,косяк,opinion
4685,косяк,Noun,neutral,косяк,fact
4686,косяк,Noun,neutral,косяк,fact
4687,косяк,Noun,neutral,косяк,fact
4688,косяк,Noun,neutral,косяк,fact
4689,косячить,Verb,negative,косячить,fact
4690,котел окружения,NG,negative,котел окружение,fact
4691,котеночек,Noun,positive,котеночек,opinion
4692,котироваться,Verb,neutral,котироваться,fact
4693,котироваться,Verb,positive,котироваться,opinion
4694,кочевряжиться,Verb,negative,кочевряжиться,opinion
4695,коченеть,Verb,negative,коченеть,feeling
4696,кошечка,Noun,positive,кошечка,opinion
4697,кошмарный,Adj,negative,кошмарный,feeling
4698,кошмарный,Adj,negative,кошмарный,opinion
4699,кошмарный,Adj,negative,кошмарный,opinion
4700,кошмар,Noun,negative,кошмар,feeling
4701,кошмар,Noun,negative,кошмар,opinion
4702,кощунственный,Adj,negative,кощунственный,opinion
4703,кощунствовать,Verb,negative,кощунствовать,opinion
4704,кощунство,Noun,negative,кощунство,opinion
4705,кража,Noun,negative,кража,fact
4706,крайность,Noun,negative,крайность,opinion
4707,крайняя степень,NG,negative,крайний степень,opinion
4708,крамола,Noun,negative,крамола,opinion
4709,крамольный,Adj,negative,крамольный,opinion
4710,красава,Noun,positive,красава,opinion
4711,красавец,Noun,positive,красавец,opinion
4712,красавица,Noun,positive,красавица,opinion
4713,красавчик,Noun,positive,красавчик,opinion
4714,краса,Noun,positive,краса,opinion
4715,красивейший,Adj,positive,красивейший,opinion
4716,красивость,Noun,negative,красивость,opinion
4717,красивый,Adj,positive,красивый,opinion
4718,красить,Verb,neutral,красить,fact
4719,красить,Verb,positive,красить,opinion
4720,красная карточка,NG,negative,красный карточка,fact
4721,краснеть от стыда,VG,negative,краснеть от стыд,feeling
4722,краснобайство,Noun,negative,краснобайство,opinion
4723,красного петуха пустить,VG,negative,красный петух пустить,fact
4724,красноречивость,Noun,positive,красноречивость,opinion
4725,красноречивый,Adj,positive,красноречивый,opinion
4726,красноречие,Noun,positive,красноречие,opinion
4727,краснуха,Noun,negative,краснуха,fact
4728,красота,Noun,positive,красота,opinion
4729,красотища,Noun,positive,красотища,opinion
4730,красотка,Noun,positive,красотка,opinion
4731,красочность,Noun,neutral,красочность,opinion
4732,красочность,Noun,positive,красочность,opinion
4733,красочный,Adj,neutral,красочный,fact
4734,красочный,Adj,neutral,красочный,opinion
4735,красочный,Adj,positive,красочный,opinion
4736,красть,Verb,negative,красть,fact
4737,крах,Noun,negative,крах,opinion
4738,крепкий,Adj,neutral,крепкий,fact
4739,крепкий,Adj,positive,крепкий,opinion
4740,крепкий,Adj,positive,крепкий,opinion
4741,крепкий,Adj,positive,крепкий,opinion
4742,крепкий,Adj,positive,крепкий,opinion
4743,крепкоголовость,Noun,negative,крепкоголовость,opinion
4744,крепкоголовый,Adj,negative,крепкоголовый,opinion
4745,крепкого сложения,NG,positive,крепкий сложение,opinion
4746,крепкое телосложение,NG,positive,крепкий телосложение,opinion
4747,крепколобость,Noun,negative,крепколобость,opinion
4748,крепколобый,Adj,negative,крепколобый,opinion
4749,крепко сбитый,NG,positive,крепко сбитый,opinion
4750,крепко скроенный,NG,positive,крепко скроенный,opinion
4751,крепнуть,Verb,positive,крепнуть,opinion
4752,крепость,Noun,neutral,крепость,fact
4753,крепость,Noun,neutral,крепость,fact
4754,крепость,Noun,positive,крепость,opinion
4755,крепость,Noun,positive,крепость,opinion
4756,крепость,Noun,positive,крепость,opinion
4757,крепость,Noun,positive,крепость,opinion
4758,кретинка,Noun,negative,кретинка,opinion
4759,кретин,Noun,negative,кретин,opinion
4760,кривить душой,VG,negative,кривить душа,opinion
4761,кривить лицо,VG,negative,кривить лицо,opinion
4762,кривить нос,VG,negative,кривить нос,opinion
4763,кривить рот,VG,negative,кривить рот,opinion
4764,кривить сердцем,VG,negative,кривить сердце,opinion
4765,кривить совестью,VG,negative,кривить совесть,opinion
4766,кривляка,Noun,negative,кривляка,opinion
4767,кривлянье,Noun,negative,кривлянье,opinion
4768,кривляться,Verb,negative,кривляться,opinion
4769,криворукий,Adj,negative,криворукий,opinion
4770,кривотолки,Noun,negative,кривотолки,opinion
4771,кризисность,Noun,negative,кризисность,opinion
4772,кризисный,Adj,negative,кризисный,opinion
4773,кризис,Noun,negative,кризис,opinion
4774,кризис,Noun,negative,кризис,opinion
4775,кризис,Noun,positive/negative,кризис,fact
4776,крикунья,Noun,negative,крикунья,opinion
4777,крикун,Noun,negative,крикун,opinion
4778,криминализация,Noun,negative,криминализация,fact
4779,криминалитет,Noun,negative,криминалитет,fact
4780,криминальный,Adj,negative,криминальный,fact
4781,криминал,Noun,negative,криминал,fact
4782,криминогенность,Noun,negative,криминогенность,fact
4783,криминогенный,Adj,negative,криминогенный,fact
4784,кристальность,Noun,positive,кристальность,opinion
4785,кристальный,Adj,positive,кристальный,opinion
4786,критиканка,Noun,negative,критиканка,opinion
4787,критиканский,Adj,negative,критиканский,opinion
4788,критиканствовать,Verb,negative,критиканствовать,opinion
4789,критиканство,Noun,negative,критиканство,opinion
4790,критикан,Noun,negative,критикан,opinion
4791,критика,Noun,negative,критика,opinion
4792,критика,Noun,neutral,критика,fact
4793,критиковать,Verb,negative,критиковать,opinion
4794,критиковать,Verb,neutral,критиковать,fact
4795,критический,Adj,negative,критический,opinion
4796,критический,Adj,neutral,критический,fact
4797,критический,Adj,neutral,критический,fact
4798,критичность,Noun,negative,критичность,opinion
4799,критичность,Noun,neutral,критичность,fact
4800,критичный,Adj,negative,критичный,opinion
4801,кричать во все горло,VG,negative,кричать во весь горло,opinion
4802,кровавый,Adj,negative,кровавый,fact
4803,кровища,Noun,negative,кровища,fact
4804,кровожадность,Noun,negative,кровожадность,opinion
4805,кровожадный,Adj,negative,кровожадный,opinion
4806,кровоизлияние,Noun,negative,кровоизлияние,fact
4807,кровопивец,Noun,negative,кровопивец,opinion
4808,кровопийца,Noun,negative,кровопийца,opinion
4809,кровоподтек,Noun,negative,кровоподтек,fact
4810,кровопотеря,Noun,negative,кровопотеря,fact
4811,кровопролитие,Noun,negative,кровопролитие,fact
4812,кровопролитнейший,Adj,negative,кровопролитнейший,fact
4813,кровопролитный,Adj,negative,кровопролитный,fact
4814,кровосмесительный,Adj,negative,кровосмесительный,fact
4815,кровосмесительство,Noun,negative,кровосмесительство,fact
4816,кровосмешение,Noun,negative,кровосмешение,fact
4817,кровосос,Noun,negative,кровосос,fact
4818,кровотечение,Noun,negative,кровотечение,fact
4819,кровоточить,Verb,negative,кровоточить,fact
4820,кровь в моче,NG,negative,кровь в моча,fact
4821,кровь невинных,NG,negative,кровь невинный,opinion
4822,крокодиловы слезы,NG,negative,крокодиловый слеза,opinion
4823,крокодильи слезы,NG,negative,крокодилий слеза,opinion
4824,кромешный,Adj,negative,кромешный,opinion
4825,кропотливость,Noun,positive,кропотливость,opinion
4826,кропотливый,Adj,positive,кропотливый,opinion
4827,кроткий,Adj,positive,кроткий,opinion
4828,кротость,Noun,positive,кротость,opinion
4829,крохоборка,Noun,negative,крохоборка,opinion
4830,крохобор,Noun,negative,крохобор,opinion
4831,кружится голова,VG,negative,кружиться голова,feeling
4832,крутой,Adj,negative,крутой,opinion
4833,крутой,Adj,neutral,крутой,fact
4834,крутой,Adj,neutral,крутой,opinion
4835,крутой,Adj,positive,крутой,opinion
4836,крутость,Noun,negative,крутость,opinion
4837,крутость,Noun,neutral,крутость,fact
4838,круть,Noun,positive,круть,opinion
4839,кручина,Noun,negative,кручина,feeling
4840,крушение,Noun,negative,крушение,fact
4841,крушение,Noun,negative,крушение,opinion
4842,крушение,Noun,negative,крушение,opinion
4843,крушить,Verb,negative,крушить,fact
4844,крыса,Noun,negative,крыса,fact
4845,крыса,Noun,negative,крыса,opinion
4846,крыть матом,VG,negative,крыть мат,fact
4847,крыть,Verb,negative,крыть,fact
4848,крыть,Verb,neutral,крыть,fact
4849,крючкотворка,Noun,negative,крючкотворка,opinion
4850,крючкотворский,Adj,negative,крючкотворский,opinion
4851,крючкотворство,Noun,negative,крючкотворство,opinion
4852,крючкотвор,Noun,negative,крючкотвор,opinion
4853,ксенофобия,Noun,negative,ксенофобия,fact
4854,ксенофобка,Noun,negative,ксенофобка,opinion
4855,ксенофобский,Adj,negative,ксенофобский,fact
4856,ксенофоб,Noun,negative,ксенофоб,opinion
4857,кудесник,Noun,positive,кудесник,opinion
4858,кудеснический,Adj,positive,кудеснический,opinion
4859,кукла в чужих руках,NG,negative,кукла в чужой рука,opinion
4860,кукла,Noun,negative,кукла,opinion
4861,кукла,Noun,neutral,кукла,fact
4862,кукла,Noun,neutral,кукла,fact
4863,кулуарность,Noun,negative,кулуарность,opinion
4864,кулуарный,Adj,negative,кулуарный,opinion
4865,культовый,Adj,neutral,культовый,fact
4866,культовый,Adj,positive,культовый,feeling
4867,культ личности,NG,negative,культ личность,fact
4868,культ,Noun,neutral,культ,fact
4869,культ,Noun,positive,культ,feeling
4870,кумир,Noun,positive,кумир,opinion
4871,кумовство,Noun,negative,кумовство,opinion
4872,кунак,Noun,positive,кунак,opinion
4873,кунацкий,Adj,positive,кунацкий,opinion
4874,куражиться,Verb,negative,куражиться,opinion
4875,кураж,Noun,positive,кураж,opinion
4876,курение,Noun,negative,курение,fact
4877,куролесить,Verb,negative,куролесить,opinion
4878,кусать локти,VG,negative,кусать локоть,feeling
4879,кусать себе локти,VG,negative,кусать себя локоть,feeling
4880,кустарный,Adj,negative,кустарный,opinion
4881,кустарный,Adj,neutral,кустарный,fact
4882,кутузка,Noun,negative,кутузка,fact
4883,лабуда,Noun,negative,лабуда,opinion
4884,лавина,Noun,negative,лавина,fact
4885,лавина,Noun,neutral,лавина,opinion
4886,лавиноопасный,Adj,negative,лавиноопасный,opinion
4887,лагать,Verb,negative,лагать,fact
4888,ладиться,Verb,positive,ладиться,opinion
4889,ладненько,Adv,positive,ладненько,opinion
4890,лазейка,Noun,negative,лазейка,opinion
4891,лазейка,Noun,neutral,лазейка,fact
4892,лайкать,Verb,positive,лайкать/лайкай,fact
4893,лайкнуть,Verb,positive,лайкнуть,fact
4894,лайк,Noun,positive,лайк/лайков,fact
4895,лакей,Noun,negative,лакей,opinion
4896,лакей,Noun,neutral,лакей,fact
4897,лакомка,Noun,positive,лакомка,opinion
4898,лакомство,Noun,positive,лакомство,opinion
4899,лакомый,Adj,positive,лакомый,feeling
4900,лаконизм,Noun,positive,лаконизм,opinion
4901,лаконичность,Noun,positive,лаконичность,opinion
4902,лаконичный,Adj,positive,лаконичный,opinion
4903,ламентация,Noun,negative,ламентация,opinion
4904,лапать,Verb,negative,лапать,opinion
4905,лапочка,Noun,positive,лапочка,opinion
4906,лапушка,Noun,positive,лапушка,opinion
4907,лапша на уши,NG,negative,лапша на ухо,fact
4908,лапша,Noun,negative,лапша,opinion
4909,лапша,Noun,neutral,лапша,fact
4910,ласковость,Noun,positive,ласковость,opinion
4911,ласковый,Adj,positive,ласковый,opinion
4912,латентность,Noun,neutral,латентность,opinion
4913,латентный,Adj,neutral,латентный,opinion
4914,лгать,Verb,negative,лгать,opinion
4915,лгунишка,Noun,negative,лгунишка,opinion
4916,лгунья,Noun,negative,лгунья,opinion
4917,лгун,Noun,negative,лгун,opinion
4918,лебезить,Verb,negative,лебезить,opinion
4919,левый алкоголь,NG,negative,левый алкоголь,fact В ТЕЗ EMPTY
4920,легализация доходов,NG,negative,легализация доход,fact
4921,легальность,Noun,positive,легальность,opinion
4922,легальный,Adj,positive,легальный,opinion
4923,легендарность,Noun,positive,легендарность,opinion
4924,легендарный,Adj,neutral,легендарный,fact
4925,легендарный,Adj,positive,легендарный,opinion
4926,легитимность,Noun,positive,легитимность,opinion
4927,легитимный,Adj,positive,легитимный,opinion
4928,легкий в общении,NG,positive,легкий в общение,opinion
4929,легкий по характеру,NG,positive,легкий по характер,opinion
4930,легкий,Adj,negative,легкий,opinion
4931,легкий,Adj,neutral,легкий,opinion
4932,легкий,Adj,neutral,легкий,opinion
4933,легкий,Adj,positive,легкий,opinion
4934,легкий,Adj,positive,легкий,opinion
4935,легковесность,Noun,negative,легковесность,opinion
4936,легковесность,Noun,neutral,легковесность,opinion
4937,легковесный,Adj,negative,легковесный,opinion
4938,легковесный,Adj,neutral,легковесный,opinion
4939,легковыполняемый,Adj,positive,легковыполняемый,opinion
4940,легкомысленность,Noun,negative,легкомысленность,opinion
4941,легкомысленный,Adj,negative,легкомысленный,opinion
4942,легкомыслие,Noun,negative,легкомыслие,opinion
4943,легкость,Noun,negative,легкость,opinion
4944,легкость,Noun,neutral,легкость,opinion
4945,легкость,Noun,neutral,легкость,opinion
4946,легкость,Noun,positive,легкость,opinion
4947,легонький,Adj,positive,легонький,opinion
4948,легчать,Verb,positive,легчать,opinion
4949,леденеть,Verb,negative,леденеть,fact
4950,леденеть,Verb,negative,леденеть,feeling
4951,леденеть,Verb,neutral,леденеть,fact
4952,леденить,Verb,negative,леденить,feeling
4953,леденить,Verb,neutral,леденить,fact
4954,леденящий,Adj,negative,леденящий,opinion
4955,ледяной,Adj,negative,ледяной,opinion
4956,ледяной,Adj,negative,ледяной,opinion
4957,ледяной,Adj,neutral,ледяной,fact
4958,ледяной,Adj,neutral,ледяной,fact
4959,лежебока,Noun,negative,лежебока,opinion
4960,лезть в петлю,VG,negative,лезть в петля,fact
4961,лезть не в свое дело,VG,negative,лезть не в свой дело,opinion
4962,лезть,Verb,negative,лезть,opinion
4963,лезть,Verb,neutral,лезть,fact
4964,лезть,Verb,neutral,лезть,fact
4965,лейкемия,Noun,negative,лейкемия,fact
4966,лейкозный,Adj,negative,лейкозный,fact
4967,лейкоз,Noun,negative,лейкоз,fact
4968,лелеять,Verb,positive,лелеять,feeling
4969,ленивец,Noun,negative,ленивец,opinion
4970,ленивец,Noun,neutral,ленивец,fact
4971,ленивость,Noun,negative,ленивость,opinion
4972,ленивый,Adj,negative,ленивый,opinion
4973,лениться,Verb,negative,лениться,opinion
4974,леность,Noun,negative,леность,opinion
4975,лентяйка,Noun,negative,лентяйка,opinion
4976,лентяйничать,Verb,negative,лентяйничать,opinion
4977,лентяйствовать,Verb,negative,лентяйствовать,opinion
4978,лентяй,Noun,negative,лентяй,opinion
4979,лень,Noun,negative,лень,opinion
4980,лепта,Noun,neutral,лепта,fact
4981,лепта,Noun,positive,лепта,opinion
4982,лепта,Noun,positive,лепта,opinion
4983,лестный,Adj,positive,лестный,opinion
4984,лесть,Noun,negative,лесть,opinion
4985,летальный,Adj,negative,летальный,fact
4986,летаргический,Adj,negative,летаргический,fact
4987,летаргия,Noun,negative,летаргия,fact
4988,лечение,Noun,negative,лечение,fact
4989,лжебанкрот,Noun,negative,лжебанкрот,fact
4990,лженаука,Noun,negative,лженаука,opinion
4991,лженаучный,Adj,negative,лженаучный,opinion
4992,лжепредпринимательство,Noun,negative,лжепредпринимательство,fact
4993,лжец,Noun,negative,лжец,opinion
4994,лживость,Noun,negative,лживость,opinion
4995,лживый,Adj,negative,лживый,opinion
4996,лидер,Noun,neutral,лидер,operator
4997,лидер,Noun,positive,лидер,fact
4998,лидер,Noun,positive,лидер,opinion
4999,лизоблюдка,Noun,negative,лизоблюдка,opinion
5000,лизоблюдничать,Verb,negative,лизоблюдничать,opinion
5001,лизоблюдство,Noun,negative,лизоблюдство,opinion
5002,лизоблюд,Noun,negative,лизоблюд,opinion
5003,ликвидация,Noun,negative,ликвидация,fact
5004,ликование,Noun,positive,ликование,feeling
5005,ликовать,Verb,positive,ликовать,feeling
5006,липа,Noun,negative,липа,opinion
5007,липа,Noun,neutral,липа,fact
5008,липа,Noun,neutral,липа,fact
5009,липовый,Adj,negative,липовый,opinion
5010,липовый,Adj,neutral,липовый,fact
5011,липовый,Adj,neutral,липовый,fact
5012,лирик в душе,NG,positive,лирик в душа,opinion
5013,лирик,Noun,neutral,лирик,fact
5014,лирик,Noun,positive,лирик,opinion
5015,лить как из ведра,VG,negative,лить как из ведро,opinion
5016,лихаческий,Adj,negative,лихаческий,opinion
5017,лихачество,Noun,negative,лихачество,opinion
5018,лихачить,Verb,negative,лихачить,opinion
5019,лихачка,Noun,negative,лихачка,opinion
5020,лихач,Noun,negative,лихач,opinion
5021,лихорадить,Verb,negative,лихорадить,feeling
5022,лихорадка,Noun,negative,лихорадка,fact
5023,лихорадка,Noun,negative,лихорадка,feeling
5024,лихорадка,Noun,negative,лихорадка,feeling
5025,лихорадка,Noun,negative,лихорадка,feeling
5026,лихорадочность,Noun,negative,лихорадочность,feeling
5027,лихорадочность,Noun,negative,лихорадочность,opinion
5028,лихорадочный,Adj,negative,лихорадочный,feeling
5029,лихорадочный,Adj,negative,лихорадочный,feeling
5030,лихорадочный,Adj,negative,лихорадочный,feeling
5031,лихорадочный,Adj,negative,лихорадочный,opinion
5032,лицемерие,Noun,negative,лицемерие,opinion
5033,лицемерить,Verb,negative,лицемерить,opinion
5034,лицемерка,Noun,negative,лицемерка,opinion
5035,лицемерность,Noun,negative,лицемерность,opinion
5036,лицемерный,Adj,negative,лицемерный,opinion
5037,лицемерский,Adj,negative,лицемерский,opinion
5038,лицемер,Noun,negative,лицемер,opinion
5039,лицеприятность,Noun,negative,лицеприятность,opinion
5040,лицеприятный,Adj,negative,лицеприятный,opinion
5041,лицо без определенного места жительства,NG,negative,лицо без определенный место жительство,fact
5042,личико,Noun,positive,личико,opinion
5043,лишаться сил,VG,negative,лишаться сила,feeling
5044,лишение,Noun,negative,лишение,fact
5045,лишиться дара речи,VG,negative,лишиться дар речь,fact
5046,лишиться здоровья,VG,negative,лишиться здоровье,fact
5047,лишиться сил,VG,negative,лишиться сила,feeling
5048,лишний вес,Noun,negative,лишний вес,fact
5049,лишний,Adj,negative,лишний,opinion
5050,лишний,Adj,negative,лишний,opinion
5051,лишний,Adj,neutral,лишний,fact
5052,лишь марионетка,NG,negative,лишь марионетка,opinion
5053,лишь с натяжкой,NG,negative,лишь с натяжка,opinion
5054,лоботряска,Noun,negative,лоботряска,opinion
5055,лоботрясничать,Verb,negative,лоботрясничать,opinion
5056,лоботряс,Noun,negative,лоботряс,opinion
5057,ловелас,Noun,negative,ловелас,opinion
5058,ловкаческий,Adj,negative,ловкаческий,opinion
5059,ловкачка,Noun,negative,ловкачка,opinion
5060,ловкач,Noun,positive,ловкач,opinion
5061,ловкий,Adj,positive,ловкий,opinion
5062,ловкость,Noun,positive,ловкость,opinion
5063,ловушка,Noun,negative,ловушка,opinion
5064,ловушка,Noun,neutral,ловушка,fact
5065,логика,Noun,neutral,логика,fact
5066,логика,Noun,positive,логика,opinion
5067,логический,Adj,neutral,логический,fact
5068,логический,Adj,positive,логический,opinion
5069,логичность,Noun,positive,логичность,opinion
5070,логичный,Adj,positive,логичный,opinion
5071,лодырничать,Verb,negative,лодырничать,opinion
5072,лодырь,Noun,negative,лодырь,opinion
5073,ложность,Noun,negative,ложность,opinion
5074,ложный,Adj,negative,ложный,opinion
5075,ложь,Noun,negative,ложь,opinion
5076,ломака,Noun,negative,ломака,opinion
5077,ломаного гроша не стоит,VG,negative,ломаный грош не стоить,opinion
5078,ломанье,Noun,negative,ломанье,opinion
5079,ломаться,Verb,negative,ломаться,fact
5080,ломаться,Verb,negative,ломаться,opinion
5081,ломаться,Verb,negative,ломаться,opinion
5082,ломаться,Verb,negative,ломаться,opinion
5083,ломаться,Verb,neutral,ломаться,fact
5084,ломкий,Adj,negative,ломкий,opinion
5085,ломкость,Noun,negative,ломкость,opinion
5086,лопаться,Verb,negative,лопаться,opinion
5087,лопаться,Verb,neutral,лопаться,fact
5088,лопнуть,Verb,negative,лопнуть,opinion
5089,лопнуть,Verb,neutral,лопнуть,fact
5090,лопухнуться,Verb,negative,лопухнуться,opinion
5091,лопух,Noun,negative,лопух,opinion
5092,лопух,Noun,neutral,лопух,fact
5093,лохануться,Verb,negative,лохануться,opinion
5094,лохотронщик,Noun,negative,лохотронщик,opinion
5095,лохушка,Noun,negative,лохушка,opinion
5096,лох,Noun,negative,лох,opinion
5097,лошара,Noun,negative,лошара,opinion
5098,лояльность,Noun,positive,лояльность,opinion
5099,лояльный,Adj,positive,лояльный,opinion
5100,лудомания,Noun,negative,лудомания,fact
5101,лудоман,Noun,negative,лудоман,fact
5102,лузер,Noun,negative,лузер,opinion
5103,лукавить,Verb,negative,лукавить,opinion
5104,лукавость,Noun,positive,лукавость,opinion
5105,лукавство,Noun,negative,лукавство,opinion
5106,лукавство,Noun,positive,лукавство,opinion
5107,лукавый,Adj,positive,лукавый,opinion
5108,лупцевать,Verb,negative,лупцевать,fact
5109,лупцовка,Noun,negative,лупцовка,fact
5110,лучевая болезнь,NG,negative,лучевой болезнь,fact
5111,лучезарный,Adj,positive,лучезарный,opinion
5112,лучик,Noun,positive,лучик,opinion
5113,лучистый,Adj,positive,лучистый,opinion
5114,лучший,Adj,positive,лучший,opinion
5115,лыко не вяжет,VG,negative,лыко не вязать,opinion
5116,лысеть,Verb,negative,лысеть,fact
5117,лысина,Noun,negative,лысина,fact
5118,лысоватый,Adj,negative,лысоватый,opinion
5119,лысый,Adj,negative,лысый,fact
5120,льгота,Noun,positive,льгота,fact
5121,льготный,Adj,positive,льготный,fact
5122,льстец,Noun,negative,льстец,opinion
5123,льстивость,Noun,negative,льстивость,opinion
5124,льстивый,Adj,negative,льстивый,opinion
5125,льстить,Verb,negative,льстить,opinion
5126,льстить,Verb,positive,льстить,feeling
5127,льстица,Noun,negative,льстица,opinion
5128,любезность,Noun,positive,любезность,opinion
5129,любезный,Adj,positive,любезный,opinion
5130,любимец,Noun,positive,любимец,opinion
5131,любимица,Noun,positive,любимица,opinion
5132,любимка,Noun,positive,любимка,opinion
5133,любимчик,Noun,positive,любимчик,opinion
5134,любимый,Adj,positive,любимый,opinion
5135,любимый,Noun,positive,любимый,opinion
5136,любительство,Noun,negative,любительство,opinion
5137,любить,Verb,neutral,любить,fact
5138,любить,Verb,positive,любить,feeling
5139,любить,Verb,positive,любить,feeling
